AoA,Max_Deformation,Max_Strain,Mesh_Nodes,Min_Safety_Factor,Max_VM_Stress
-5,165.4766382,0.005066578,9385,1.378861773,364.7936362
-3,165.4511142,0.005081488,9405,1.374815959,365.8671523
-2,165.3643786,0.005085829,9408,1.373642683,366.1796522
0,165.1048591,0.005091268,9414,1.372175005,366.571318
1,164.8988405,0.005091064,9403,1.372230059,366.5566111
4,164.0451522,0.005082632,9405,1.374506618,365.949493
6,163.2589117,0.005071571,9414,1.377504354,365.1531108
7,162.8070437,0.005064555,9407,1.37941259,364.6479695
9,161.770822,0.005046271,9410,1.384410515,363.3315369
10,161.2040542,0.005034603,9397,1.387618981,362.4914381
12,159.9002141,0.00500703,9393,1.395260594,360.5061321
13,159.1877687,0.00498918,9421,1.40025249,359.2209287
15,157.6640506,0.00495228,9411,1.410685755,356.5641733
