Spar_Outer_Diam,Spar_Inner_Diam,Mesh_Size,AoA,Max_Deformation,Max_Strain,Max_VM_Stress,Min_Safety_Factor,Spar_Thickness,Spar_Mass
180,160,30,5,161.6734669,0.004179342,300.9126077,1.671581672,20,300.1477621
180,165,30,5,192.5212098,0.005117781,368.4802489,1.365066381,15,228.4212749
180,170,30,5,249.7657695,0.007805922,562.0263718,0.894975797,10,154.4878187
180,175,30,5,390.5637161,0.011775206,847.8148683,0.593289902,5,78.34739379
190,170,30,5,142.7345412,0.00364384,262.3564801,1.917238712,20,317.8035128
190,175,30,5,169.778234,0.004413053,317.7398096,1.583056277,15,241.6630879
190,180,30,5,220.7113398,0.00702539,505.8281042,0.994408962,10,163.3156941
190,185,30,5,348.1821292,0.011067304,796.8459404,0.631238706,5,82.76133147
200,180,30,5,127.0685071,0.003309461,238.2811673,2.110951553,20,335.4592636
200,185,30,5,151.1488301,0.003943312,283.9184631,1.7716354,15,254.9049009
200,190,30,5,157.478076,0.019418609,1216.091534,0.413620181,10,172.1435695
200,195,30,5,311.2941094,0.009788949,704.8042768,0.713673308,5,87.17526915
210,190,30,5,50.77414374,0.001982256,181.0390723,1.380917372,20,353.1150143
210,195,30,5,55.69991976,0.001938725,282.9307621,0.883608407,15,268.146714
210,200,30,5,66.32572218,0.005679008,402.8474513,0.620582305,10,180.9714448
210,205,30,5,102.5951473,0.005208351,458.4205465,0.545350774,5,91.58920682
